elapsed_s,phase,arms_ma,head_ma,total_ma
1.827,simultaneous_pose,123.5,0.0,123.5
1.83,simultaneous_pose,117.0,0.0,117.0
1.832,simultaneous_pose,97.5,0.0,97.5
1.835,simultaneous_pose,130.0,0.0,130.0
1.838,simultaneous_pose,97.5,0.0,97.5
1.84,simultaneous_pose,130.0,0.0,130.0
1.843,simultaneous_pose,123.5,0.0,123.5
1.845,simultaneous_pose,97.5,0.0,97.5
1.848,simultaneous_pose,130.0,0.0,130.0
1.85,simultaneous_pose,117.0,0.0,117.0
1.853,simultaneous_pose,117.0,0.0,117.0
1.856,simultaneous_pose,123.5,0.0,123.5
1.858,simultaneous_pose,149.5,0.0,149.5
1.861,simultaneous_pose,149.5,0.0,149.5
1.863,simultaneous_pose,130.0,0.0,130.0
1.866,simultaneous_pose,104.0,0.0,104.0
1.869,simultaneous_pose,143.0,0.0,143.0
1.871,simultaneous_pose,123.5,0.0,123.5
1.874,simultaneous_pose,123.5,0.0,123.5
1.876,simultaneous_pose,130.0,0.0,130.0
1.879,simultaneous_pose,117.0,0.0,117.0
1.881,simultaneous_pose,117.0,6.5,123.5
1.884,simultaneous_pose,136.5,0.0,136.5
1.887,simultaneous_pose,130.0,0.0,130.0
1.889,simultaneous_pose,136.5,0.0,136.5
1.892,simultaneous_pose,162.5,0.0,162.5
1.894,simultaneous_pose,123.5,0.0,123.5
1.897,simultaneous_pose,104.0,0.0,104.0
1.9,simultaneous_pose,104.0,0.0,104.0
1.902,simultaneous_pose,136.5,0.0,136.5
1.905,simultaneous_pose,130.0,0.0,130.0
1.907,simultaneous_pose,143.0,0.0,143.0
1.91,simultaneous_pose,130.0,6.5,136.5
1.912,simultaneous_pose,130.0,0.0,130.0
1.915,simultaneous_pose,130.0,0.0,130.0
1.918,simultaneous_pose,110.5,0.0,110.5
1.92,simultaneous_pose,130.0,0.0,130.0
1.923,simultaneous_pose,136.5,0.0,136.5
1.926,simultaneous_pose,117.0,0.0,117.0
1.928,simultaneous_pose,117.0,0.0,117.0
1.931,simultaneous_pose,143.0,0.0,143.0
1.933,simultaneous_pose,143.0,0.0,143.0
1.936,simultaneous_pose,143.0,0.0,143.0
1.939,simultaneous_pose,143.0,0.0,143.0
1.941,simultaneous_pose,117.0,0.0,117.0
1.944,simultaneous_pose,143.0,0.0,143.0
1.946,simultaneous_pose,130.0,0.0,130.0
1.949,simultaneous_pose,149.5,0.0,149.5
1.951,simultaneous_pose,117.0,0.0,117.0
1.954,simultaneous_pose,136.5,0.0,136.5
1.956,simultaneous_pose,123.5,0.0,123.5
1.959,simultaneous_pose,130.0,0.0,130.0
1.962,simultaneous_pose,130.0,0.0,130.0
1.964,simultaneous_pose,136.5,0.0,136.5
1.967,simultaneous_pose,143.0,0.0,143.0
1.97,simultaneous_pose,123.5,0.0,123.5
1.972,simultaneous_pose,117.0,0.0,117.0
1.975,simultaneous_pose,136.5,6.5,143.0
1.977,simultaneous_pose,123.5,0.0,123.5
1.98,simultaneous_pose,136.5,0.0,136.5
1.983,simultaneous_pose,130.0,0.0,130.0
1.985,simultaneous_pose,143.0,6.5,149.5
1.988,simultaneous_pose,117.0,6.5,123.5
1.991,simultaneous_pose,123.5,0.0,123.5
1.993,simultaneous_pose,162.5,0.0,162.5
1.996,simultaneous_pose,136.5,0.0,136.5
1.998,simultaneous_pose,143.0,0.0,143.0
2.001,simultaneous_pose,136.5,0.0,136.5
2.003,simultaneous_pose,97.5,0.0,97.5
2.006,simultaneous_pose,136.5,0.0,136.5
2.009,simultaneous_pose,136.5,0.0,136.5
2.011,simultaneous_pose,143.0,0.0,143.0
2.014,simultaneous_pose,136.5,0.0,136.5
2.016,simultaneous_pose,143.0,6.5,149.5
2.019,simultaneous_pose,130.0,0.0,130.0
2.022,simultaneous_pose,123.5,0.0,123.5
2.024,simultaneous_pose,110.5,0.0,110.5
2.027,simultaneous_pose,136.5,0.0,136.5
2.029,simultaneous_pose,156.0,0.0,156.0
2.032,simultaneous_pose,130.0,0.0,130.0
2.035,simultaneous_pose,130.0,0.0,130.0
2.037,simultaneous_pose,143.0,0.0,143.0
2.04,simultaneous_pose,136.5,0.0,136.5
2.042,simultaneous_pose,136.5,0.0,136.5
2.045,simultaneous_pose,117.0,0.0,117.0
2.048,simultaneous_pose,123.5,0.0,123.5
2.05,simultaneous_pose,136.5,0.0,136.5
2.053,simultaneous_pose,130.0,0.0,130.0
2.056,simultaneous_pose,123.5,0.0,123.5
2.058,simultaneous_pose,123.5,0.0,123.5
2.061,simultaneous_pose,110.5,0.0,110.5
2.063,simultaneous_pose,136.5,0.0,136.5
2.066,simultaneous_pose,123.5,0.0,123.5
2.069,simultaneous_pose,149.5,0.0,149.5
2.071,simultaneous_pose,143.0,0.0,143.0
2.074,simultaneous_pose,143.0,0.0,143.0
2.077,simultaneous_pose,143.0,0.0,143.0
2.079,simultaneous_pose,123.5,0.0,123.5
2.082,simultaneous_pose,162.5,0.0,162.5
2.084,simultaneous_pose,104.0,0.0,104.0
2.087,simultaneous_pose,136.5,0.0,136.5
2.09,simultaneous_pose,136.5,0.0,136.5
2.092,simultaneous_pose,117.0,0.0,117.0
2.095,simultaneous_pose,136.5,0.0,136.5
2.097,simultaneous_pose,136.5,0.0,136.5
2.1,simultaneous_pose,149.5,0.0,149.5
2.102,simultaneous_pose,123.5,0.0,123.5
2.105,simultaneous_pose,123.5,0.0,123.5
2.108,simultaneous_pose,143.0,0.0,143.0
2.11,simultaneous_pose,123.5,0.0,123.5
2.113,simultaneous_pose,130.0,0.0,130.0
2.115,simultaneous_pose,136.5,0.0,136.5
2.118,simultaneous_pose,136.5,6.5,143.0
2.12,simultaneous_pose,136.5,0.0,136.5
2.123,simultaneous_pose,136.5,0.0,136.5
2.126,simultaneous_pose,136.5,6.5,143.0
2.128,simultaneous_pose,130.0,0.0,130.0
2.131,simultaneous_pose,117.0,0.0,117.0
2.133,simultaneous_pose,136.5,6.5,143.0
2.136,simultaneous_pose,136.5,0.0,136.5
2.139,simultaneous_pose,110.5,6.5,117.0
2.141,simultaneous_pose,130.0,0.0,130.0
2.144,simultaneous_pose,136.5,0.0,136.5
2.146,simultaneous_pose,117.0,0.0,117.0
