elapsed_s,timestamp,millivolts,milliamps,active_motors,phase
28.0799,2026-08-28T03:51:10.606223+00:00,5072,816,14,enable_right_gripper
28.0814,2026-08-28T03:51:10.607695+00:00,5072,816,14,enable_right_gripper
28.0829,2026-08-28T03:51:10.609166+00:00,5072,816,14,enable_right_gripper
28.0843,2026-08-28T03:51:10.610632+00:00,5072,816,14,enable_right_gripper
28.0858,2026-08-28T03:51:10.612074+00:00,5072,816,14,enable_right_gripper
28.0870,2026-08-28T03:51:10.613333+00:00,5072,816,14,enable_right_gripper
28.0883,2026-08-28T03:51:10.614587+00:00,5072,816,14,enable_right_gripper
28.0895,2026-08-28T03:51:10.615844+00:00,5072,816,14,enable_right_gripper
28.0908,2026-08-28T03:51:10.617105+00:00,5072,816,14,enable_right_gripper
28.0921,2026-08-28T03:51:10.618363+00:00,5072,816,14,enable_right_gripper
28.0933,2026-08-28T03:51:10.619620+00:00,5072,816,14,enable_right_gripper
28.0946,2026-08-28T03:51:10.620878+00:00,5072,816,14,enable_right_gripper
28.0958,2026-08-28T03:51:10.622132+00:00,5072,816,14,enable_right_gripper
28.0972,2026-08-28T03:51:10.623525+00:00,5072,816,14,enable_right_gripper
28.0987,2026-08-28T03:51:10.625028+00:00,5072,816,14,enable_right_gripper
28.1002,2026-08-28T03:51:10.626494+00:00,5072,816,14,enable_right_gripper
28.1017,2026-08-28T03:51:10.627967+00:00,5072,816,14,enable_right_gripper
28.1031,2026-08-28T03:51:10.629441+00:00,5072,816,14,enable_right_gripper
28.1047,2026-08-28T03:51:10.630962+00:00,5072,816,14,enable_right_gripper
28.1060,2026-08-28T03:51:10.632259+00:00,5072,816,14,enable_right_gripper
28.1072,2026-08-28T03:51:10.633516+00:00,5072,816,14,enable_right_gripper
28.1085,2026-08-28T03:51:10.634793+00:00,5072,816,14,enable_right_gripper
28.1098,2026-08-28T03:51:10.636060+00:00,5072,816,14,enable_right_gripper
28.1110,2026-08-28T03:51:10.637317+00:00,5072,816,14,enable_right_gripper
28.1123,2026-08-28T03:51:10.638577+00:00,5072,816,14,enable_right_gripper
28.1135,2026-08-28T03:51:10.639836+00:00,5072,816,14,enable_right_gripper
28.1149,2026-08-28T03:51:10.641251+00:00,5072,816,14,enable_right_gripper
28.1164,2026-08-28T03:51:10.642719+00:00,5072,816,14,enable_right_gripper
28.1179,2026-08-28T03:51:10.644225+00:00,5072,816,14,enable_right_gripper
28.1194,2026-08-28T03:51:10.645691+00:00,5072,816,14,enable_right_gripper
28.1209,2026-08-28T03:51:10.647170+00:00,5072,816,14,enable_right_gripper
28.1223,2026-08-28T03:51:10.648555+00:00,5072,816,14,enable_right_gripper
28.1235,2026-08-28T03:51:10.649817+00:00,5072,816,14,enable_right_gripper
28.1248,2026-08-28T03:51:10.651079+00:00,5072,816,14,enable_right_gripper
28.1260,2026-08-28T03:51:10.652335+00:00,5072,816,14,enable_right_gripper
28.1273,2026-08-28T03:51:10.653590+00:00,5072,816,14,enable_right_gripper
28.1285,2026-08-28T03:51:10.654848+00:00,5072,816,14,enable_right_gripper
28.1298,2026-08-28T03:51:10.656106+00:00,5072,816,14,enable_right_gripper
28.1311,2026-08-28T03:51:10.657391+00:00,5072,816,14,enable_right_gripper
28.1326,2026-08-28T03:51:10.658856+00:00,5072,816,14,enable_right_gripper
28.1340,2026-08-28T03:51:10.660327+00:00,5072,816,14,enable_right_gripper
28.1355,2026-08-28T03:51:10.661792+00:00,5072,816,14,enable_right_gripper
28.1370,2026-08-28T03:51:10.663255+00:00,5072,816,14,enable_right_gripper
28.1384,2026-08-28T03:51:10.664707+00:00,5072,816,14,enable_right_gripper
28.1397,2026-08-28T03:51:10.666000+00:00,5072,816,14,enable_right_gripper
28.1410,2026-08-28T03:51:10.667256+00:00,5072,816,14,enable_right_gripper
28.1422,2026-08-28T03:51:10.668513+00:00,5072,816,14,enable_right_gripper
28.1435,2026-08-28T03:51:10.669766+00:00,5072,816,14,enable_right_gripper
28.1447,2026-08-28T03:51:10.671019+00:00,5072,816,14,enable_right_gripper
28.1460,2026-08-28T03:51:10.672277+00:00,5072,816,14,enable_right_gripper
28.1472,2026-08-28T03:51:10.673531+00:00,5072,816,14,enable_right_gripper
28.1485,2026-08-28T03:51:10.674788+00:00,5072,816,14,enable_right_gripper
28.1498,2026-08-28T03:51:10.676076+00:00,5072,816,14,enable_right_gripper
28.1512,2026-08-28T03:51:10.677540+00:00,5072,816,14,enable_right_gripper
28.1527,2026-08-28T03:51:10.679009+00:00,5072,816,14,enable_right_gripper
28.1542,2026-08-28T03:51:10.680477+00:00,5072,816,14,enable_right_gripper
28.1556,2026-08-28T03:51:10.681949+00:00,5072,816,14,enable_right_gripper
28.1571,2026-08-28T03:51:10.683446+00:00,5072,816,14,enable_right_gripper
28.1586,2026-08-28T03:51:10.684920+00:00,5072,816,14,enable_right_gripper
28.1601,2026-08-28T03:51:10.686427+00:00,5072,816,14,enable_right_gripper
28.1614,2026-08-28T03:51:10.687688+00:00,5072,816,14,enable_right_gripper
28.1626,2026-08-28T03:51:10.688946+00:00,5072,816,14,enable_right_gripper
28.1639,2026-08-28T03:51:10.690201+00:00,5072,816,14,enable_right_gripper
28.1652,2026-08-28T03:51:10.691461+00:00,5072,816,14,enable_right_gripper
28.1664,2026-08-28T03:51:10.692723+00:00,5072,816,14,enable_right_gripper
