elapsed_s,timestamp,motor,commanded,position,error,temp_c,current,load
38.437,2026-08-05T05:59:09.893029+00:00,right_wrist_roll,2114,2112,-2,34,0,1042
38.437,2026-08-05T05:59:09.893029+00:00,right_gripper,2455,2463,8,38,0,30
38.488,2026-08-05T05:59:09.946267+00:00,left_shoulder_pan,1857,1851,-6,37,2,1060
38.488,2026-08-05T05:59:09.946267+00:00,left_shoulder_lift,2389,2404,15,36,2,72
38.488,2026-08-05T05:59:09.946267+00:00,left_elbow_flex,1629,1643,14,34,3,68
38.488,2026-08-05T05:59:09.946267+00:00,left_wrist_flex,2169,2172,3,34,0,24
38.488,2026-08-05T05:59:09.946267+00:00,left_wrist_roll,1989,1987,-2,34,1,1044
38.488,2026-08-05T05:59:09.946267+00:00,left_gripper,2014,2014,0,37,0,0
38.488,2026-08-05T05:59:09.946267+00:00,right_shoulder_pan,1789,1784,-5,37,0,1042
38.488,2026-08-05T05:59:09.946267+00:00,right_shoulder_lift,2086,2174,88,38,14,188
38.488,2026-08-05T05:59:09.946267+00:00,right_elbow_flex,2097,2134,37,37,4,88
38.488,2026-08-05T05:59:09.946267+00:00,right_wrist_flex,1976,1991,15,35,1,44
38.488,2026-08-05T05:59:09.946267+00:00,right_wrist_roll,2114,2112,-2,34,0,1042
38.488,2026-08-05T05:59:09.946267+00:00,right_gripper,2455,2463,8,38,0,30
38.538,2026-08-05T05:59:09.993845+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
38.538,2026-08-05T05:59:09.993845+00:00,left_shoulder_lift,2389,2404,15,36,3,72
38.538,2026-08-05T05:59:09.993845+00:00,left_elbow_flex,1629,1643,14,34,3,68
38.538,2026-08-05T05:59:09.993845+00:00,left_wrist_flex,2169,2172,3,34,0,24
38.538,2026-08-05T05:59:09.993845+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
38.538,2026-08-05T05:59:09.993845+00:00,left_gripper,2014,2014,0,37,0,0
38.538,2026-08-05T05:59:09.993845+00:00,right_shoulder_pan,1792,1785,-7,37,0,1046
38.538,2026-08-05T05:59:09.993845+00:00,right_shoulder_lift,2090,2174,84,38,13,186
38.538,2026-08-05T05:59:09.993845+00:00,right_elbow_flex,2097,2134,37,37,4,88
38.538,2026-08-05T05:59:09.993845+00:00,right_wrist_flex,1976,1991,15,35,1,44
38.538,2026-08-05T05:59:09.993845+00:00,right_wrist_roll,2114,2112,-2,35,0,1042
38.538,2026-08-05T05:59:09.993845+00:00,right_gripper,2455,2463,8,38,1,30
38.588,2026-08-05T05:59:10.043679+00:00,left_shoulder_pan,1857,1851,-6,37,0,1060
38.588,2026-08-05T05:59:10.043679+00:00,left_shoulder_lift,2389,2404,15,36,3,72
38.588,2026-08-05T05:59:10.043679+00:00,left_elbow_flex,1629,1643,14,34,3,68
38.588,2026-08-05T05:59:10.043679+00:00,left_wrist_flex,2169,2172,3,34,0,24
38.588,2026-08-05T05:59:10.043679+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
38.588,2026-08-05T05:59:10.043679+00:00,left_gripper,2014,2014,0,37,0,0
38.588,2026-08-05T05:59:10.043679+00:00,right_shoulder_pan,1795,1785,-10,37,1,1060
38.588,2026-08-05T05:59:10.043679+00:00,right_shoulder_lift,2094,2174,80,38,17,174
38.588,2026-08-05T05:59:10.043679+00:00,right_elbow_flex,2097,2134,37,37,4,88
38.588,2026-08-05T05:59:10.043679+00:00,right_wrist_flex,1976,1991,15,35,1,44
38.588,2026-08-05T05:59:10.043679+00:00,right_wrist_roll,2114,2112,-2,34,1,1042
38.588,2026-08-05T05:59:10.043679+00:00,right_gripper,2455,2463,8,38,1,30
38.638,2026-08-05T05:59:10.093952+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
38.638,2026-08-05T05:59:10.093952+00:00,left_shoulder_lift,2389,2404,15,36,3,72
38.638,2026-08-05T05:59:10.093952+00:00,left_elbow_flex,1629,1643,14,34,2,68
38.638,2026-08-05T05:59:10.093952+00:00,left_wrist_flex,2169,2172,3,34,0,24
38.638,2026-08-05T05:59:10.093952+00:00,left_wrist_roll,1989,1987,-2,34,1,1044
38.638,2026-08-05T05:59:10.093952+00:00,left_gripper,2014,2014,0,37,0,0
38.638,2026-08-05T05:59:10.093952+00:00,right_shoulder_pan,1799,1785,-14,37,1,1062
38.638,2026-08-05T05:59:10.093952+00:00,right_shoulder_lift,2097,2174,77,38,11,166
38.638,2026-08-05T05:59:10.093952+00:00,right_elbow_flex,2097,2134,37,37,4,88
38.638,2026-08-05T05:59:10.093952+00:00,right_wrist_flex,1976,1991,15,35,1,44
38.638,2026-08-05T05:59:10.093952+00:00,right_wrist_roll,2114,2112,-2,34,1,1042
38.638,2026-08-05T05:59:10.093952+00:00,right_gripper,2455,2463,8,38,1,30
38.688,2026-08-05T05:59:10.143987+00:00,left_shoulder_pan,1857,1851,-6,37,0,1060
38.688,2026-08-05T05:59:10.143987+00:00,left_shoulder_lift,2389,2404,15,36,3,72
38.688,2026-08-05T05:59:10.143987+00:00,left_elbow_flex,1629,1643,14,34,3,68
38.688,2026-08-05T05:59:10.143987+00:00,left_wrist_flex,2169,2172,3,34,0,24
38.688,2026-08-05T05:59:10.143987+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
38.688,2026-08-05T05:59:10.143987+00:00,left_gripper,2014,2014,0,36,0,0
38.688,2026-08-05T05:59:10.143987+00:00,right_shoulder_pan,1803,1784,-19,37,0,1076
38.688,2026-08-05T05:59:10.143987+00:00,right_shoulder_lift,2100,2174,74,38,13,160
38.688,2026-08-05T05:59:10.143987+00:00,right_elbow_flex,2097,2134,37,37,4,88
38.688,2026-08-05T05:59:10.143987+00:00,right_wrist_flex,1976,1991,15,35,1,44
38.688,2026-08-05T05:59:10.143987+00:00,right_wrist_roll,2114,2112,-2,34,1,1042
38.688,2026-08-05T05:59:10.143987+00:00,right_gripper,2455,2463,8,38,1,30
38.738,2026-08-05T05:59:10.193865+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
38.738,2026-08-05T05:59:10.193865+00:00,left_shoulder_lift,2389,2404,15,36,3,72
38.738,2026-08-05T05:59:10.193865+00:00,left_elbow_flex,1629,1643,14,34,3,68
38.738,2026-08-05T05:59:10.193865+00:00,left_wrist_flex,2169,2172,3,34,0,24
38.738,2026-08-05T05:59:10.193865+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
38.738,2026-08-05T05:59:10.193865+00:00,left_gripper,2014,2014,0,37,0,0
38.738,2026-08-05T05:59:10.193865+00:00,right_shoulder_pan,1807,1785,-22,37,1,1082
38.738,2026-08-05T05:59:10.193865+00:00,right_shoulder_lift,2104,2174,70,38,10,158
38.738,2026-08-05T05:59:10.193865+00:00,right_elbow_flex,2097,2134,37,37,4,88
38.738,2026-08-05T05:59:10.193865+00:00,right_wrist_flex,1976,1991,15,35,1,44
38.738,2026-08-05T05:59:10.193865+00:00,right_wrist_roll,2114,2112,-2,34,0,1042
38.738,2026-08-05T05:59:10.193865+00:00,right_gripper,2455,2463,8,38,0,30
38.789,2026-08-05T05:59:10.245239+00:00,left_shoulder_pan,1857,1851,-6,37,0,1060
38.789,2026-08-05T05:59:10.245239+00:00,left_shoulder_lift,2389,2404,15,36,3,72
38.789,2026-08-05T05:59:10.245239+00:00,left_elbow_flex,1629,1643,14,34,3,68
38.789,2026-08-05T05:59:10.245239+00:00,left_wrist_flex,2169,2172,3,34,1,24
38.789,2026-08-05T05:59:10.245239+00:00,left_wrist_roll,1989,1987,-2,34,1,1044
38.789,2026-08-05T05:59:10.245239+00:00,left_gripper,2014,2014,0,36,0,0
38.789,2026-08-05T05:59:10.245239+00:00,right_shoulder_pan,1811,1787,-24,37,2,1078
38.789,2026-08-05T05:59:10.245239+00:00,right_shoulder_lift,2107,2174,67,38,8,150
38.789,2026-08-05T05:59:10.245239+00:00,right_elbow_flex,2097,2134,37,37,4,88
38.789,2026-08-05T05:59:10.245239+00:00,right_wrist_flex,1976,1991,15,35,1,44
38.789,2026-08-05T05:59:10.245239+00:00,right_wrist_roll,2114,2112,-2,34,0,1042
38.789,2026-08-05T05:59:10.245239+00:00,right_gripper,2455,2463,8,38,0,30
38.839,2026-08-05T05:59:10.295093+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
38.839,2026-08-05T05:59:10.295093+00:00,left_shoulder_lift,2389,2404,15,36,3,72
38.839,2026-08-05T05:59:10.295093+00:00,left_elbow_flex,1629,1643,14,34,3,68
38.839,2026-08-05T05:59:10.295093+00:00,left_wrist_flex,2169,2172,3,34,0,24
38.839,2026-08-05T05:59:10.295093+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
38.839,2026-08-05T05:59:10.295093+00:00,left_gripper,2014,2014,0,37,0,0
38.839,2026-08-05T05:59:10.295093+00:00,right_shoulder_pan,1816,1791,-25,37,1,1078
38.839,2026-08-05T05:59:10.295093+00:00,right_shoulder_lift,2110,2174,64,38,8,144
38.839,2026-08-05T05:59:10.295093+00:00,right_elbow_flex,2097,2134,37,37,4,88
38.839,2026-08-05T05:59:10.295093+00:00,right_wrist_flex,1976,1991,15,35,0,44
38.839,2026-08-05T05:59:10.295093+00:00,right_wrist_roll,2114,2112,-2,34,0,1042
38.839,2026-08-05T05:59:10.295093+00:00,right_gripper,2455,2463,8,38,0,30
38.889,2026-08-05T05:59:10.345226+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
38.889,2026-08-05T05:59:10.345226+00:00,left_shoulder_lift,2389,2404,15,36,3,72
38.889,2026-08-05T05:59:10.345226+00:00,left_elbow_flex,1629,1643,14,34,3,68
38.889,2026-08-05T05:59:10.345226+00:00,left_wrist_flex,2169,2172,3,34,0,24
